Ad,name,anothername,parentPac,level,pac,cpac
130101000000,市辖区,市辖区,130100000000,4,130101000000,130101000000
130102000000,长安区,长安,130100000000,4,130102000000,130102000000
130104000000,桥西区,桥西,130100000000,4,130104000000,130104000000
130105000000,新华区,新华,130100000000,4,130105000000,130105000000
130107000000,井陉矿区,井陉,130100000000,4,130107000000,130107000000
130108000000,裕华区,裕华,130100000000,4,130108000000,130108000000
130109000000,藁城区,藁城,130100000000,4,130109000000,130109000000
130110000000,鹿泉区,鹿泉,130100000000,4,130110000000,130110000000
130111000000,栾城区,栾城,130100000000,4,130111000000,130111000000
130121000000,井陉县,井陉,130100000000,4,130121000000,130121000000
130123000000,正定县,正定,130100000000,4,130123000000,130123000000
130125000000,行唐县,行唐,130100000000,4,130125000000,130125000000
130126000000,灵寿县,灵寿,130100000000,4,130126000000,130126000000
130127000000,高邑县,高邑,130100000000,4,130127000000,130127000000
130128000000,深泽县,深泽,130100000000,4,130128000000,130128000000
130129000000,赞皇县,赞皇,130100000000,4,130129000000,130129000000
130130000000,无极县,无极,130100000000,4,130130000000,130130000000
130131000000,平山县,平山,130100000000,4,130131000000,130131000000
130132000000,元氏县,元氏,130100000000,4,130132000000,130132000000
130133000000,赵县,赵县,130100000000,4,130133000000,130133000000
130171000000,石家庄高新技术产业开发区,高新区,130100000000,4,130171000000,130171000000
130172000000,石家庄循环化工园区,化工园区,130100000000,4,130172000000,130172000000
130181000000,辛集市,辛集,130100000000,4,130181000000,130181000000
130183000000,晋州市,晋州,130100000000,4,130183000000,130183000000
130184000000,新乐市,新乐,130100000000,4,130184000000,130184000000
130201000000,市辖区,市辖区,130200000000,4,130201000000,130201000000
130202000000,路南区,路南,130200000000,4,130202000000,130202000000
130203000000,路北区,路北,130200000000,4,130203000000,130203000000
130204000000,古冶区,古冶,130200000000,4,130204000000,130204000000
130205000000,开平区,开平,130200000000,4,130205000000,130205000000
130207000000,丰南区,丰南,130200000000,4,130207000000,130207000000
130208000000,丰润区,丰润,130200000000,4,130208000000,130208000000
130209000000,曹妃甸区,曹妃甸,130200000000,4,130209000000,130209000000
130224000000,滦南县,滦南,130200000000,4,130224000000,130224000000
130225000000,乐亭县,乐亭,130200000000,4,130225000000,130225000000
130227000000,迁西县,迁西,130200000000,4,130227000000,130227000000
130229000000,玉田县,玉田,130200000000,4,130229000000,130229000000
130271000000,河北唐山芦台经济开发区,芦台农场,130200000000,4,130271000000,130271000000
130272000000,唐山市汉沽管理区,汉沽农场,130200000000,4,130272000000,130272000000
130273000000,唐山高新技术产业开发区,唐山国家高新技术产业开发区,130200000000,4,130273000000,130273000000
130274000000,河北唐山海港经济开发区,唐港区,130200000000,4,130274000000,130274000000
130281000000,遵化市,遵化,130200000000,4,130281000000,130281000000
130283000000,迁安市,迁安,130200000000,4,130283000000,130283000000
130284000000,滦州市,滦州,130200000000,4,130284000000,130284000000
130301000000,市辖区,市辖区,130300000000,4,130301000000,130301000000
130302000000,海港区,海港,130300000000,4,130302000000,130302000000
130303000000,山海关区,山海关,130300000000,4,130303000000,130303000000
130304000000,北戴河区,北戴河,130300000000,4,130304000000,130304000000
130306000000,抚宁区,抚宁,130300000000,4,130306000000,130306000000
130321000000,青龙满族自治县,青龙,130300000000,4,130321000000,130321000000
130322000000,昌黎县,昌黎,130300000000,4,130322000000,130322000000
130324000000,卢龙县,卢龙,130300000000,4,130324000000,130324000000
130371000000,秦皇岛市经济技术开发区,秦皇岛开发区,130300000000,4,130371000000,130371000000
130372000000,北戴河新区,北戴河,130300000000,4,130372000000,130372000000
130401000000,市辖区,市辖区,130400000000,4,130401000000,130401000000
130402000000,邯山区,邯山,130400000000,4,130402000000,130402000000
130403000000,丛台区,丛台,130400000000,4,130403000000,130403000000
130404000000,复兴区,复兴,130400000000,4,130404000000,130404000000
130406000000,峰峰矿区,峰峰,130400000000,4,130406000000,130406000000
130407000000,肥乡区,肥乡,130400000000,4,130407000000,130407000000
130408000000,永年区,永年,130400000000,4,130408000000,130408000000
130423000000,临漳县,临漳,130400000000,4,130423000000,130423000000
130424000000,成安县,成安,130400000000,4,130424000000,130424000000
130425000000,大名县,大名,130400000000,4,130425000000,130425000000
130426000000,涉县,涉县,130400000000,4,130426000000,130426000000
130427000000,磁县,磁县,130400000000,4,130427000000,130427000000
130430000000,邱县,邱县,130400000000,4,130430000000,130430000000
130431000000,鸡泽县,鸡泽,130400000000,4,130431000000,130431000000
130432000000,广平县,广平,130400000000,4,130432000000,130432000000
130433000000,馆陶县,馆陶,130400000000,4,130433000000,130433000000
130434000000,魏县,魏县,130400000000,4,130434000000,130434000000
130435000000,曲周县,曲周,130400000000,4,130435000000,130435000000
130471000000,邯郸经济技术开发区,邯郸经开区,130400000000,4,130471000000,130471000000
130473000000,邯郸冀南新区,冀南新区,130400000000,4,130473000000,130473000000
130481000000,武安市,武安,130400000000,4,130481000000,130481000000
130501000000,市辖区,市辖区,130500000000,4,130501000000,130501000000
130502000000,襄都区,襄都,130500000000,4,130502000000,130502000000
130503000000,信都区,信都,130500000000,4,130503000000,130503000000
130505000000,任泽区,任泽,130500000000,4,130505000000,130505000000
130506000000,南和区,南和,130500000000,4,130506000000,130506000000
130522000000,临城县,临城,130500000000,4,130522000000,130522000000
130523000000,内丘县,内丘,130500000000,4,130523000000,130523000000
130524000000,柏乡县,柏乡,130500000000,4,130524000000,130524000000
130525000000,隆尧县,隆尧,130500000000,4,130525000000,130525000000
130528000000,宁晋县,宁晋,130500000000,4,130528000000,130528000000
130529000000,巨鹿县,巨鹿,130500000000,4,130529000000,130529000000
130530000000,新河县,新河,130500000000,4,130530000000,130530000000
130531000000,广宗县,广宗,130500000000,4,130531000000,130531000000
130532000000,平乡县,平乡,130500000000,4,130532000000,130532000000
130533000000,威县,威县,130500000000,4,130533000000,130533000000
130534000000,清河县,清河,130500000000,4,130534000000,130534000000
130535000000,临西县,临西,130500000000,4,130535000000,130535000000
130571000000,河北邢台经济开发区,邢台经开区,130500000000,4,130571000000,130571000000
130581000000,南宫市,南宫,130500000000,4,130581000000,130581000000
130582000000,沙河市,沙河,130500000000,4,130582000000,130582000000
130601000000,市辖区,市辖区,130600000000,4,130601000000,130601000000
130602000000,竞秀区,竞秀,130600000000,4,130602000000,130602000000
130606000000,莲池区,莲池,130600000000,4,130606000000,130606000000
130607000000,满城区,满城,130600000000,4,130607000000,130607000000
130608000000,清苑区,清苑,130600000000,4,130608000000,130608000000
130609000000,徐水区,徐水,130600000000,4,130609000000,130609000000
130623000000,涞水县,涞水,130600000000,4,130623000000,130623000000
130624000000,阜平县,阜平,130600000000,4,130624000000,130624000000
130626000000,定兴县,定兴,130600000000,4,130626000000,130626000000
130627000000,唐县,唐县,130600000000,4,130627000000,130627000000
130628000000,高阳县,高阳,130600000000,4,130628000000,130628000000
130629000000,容城县,容城,130600000000,4,130629000000,130629000000
130630000000,涞源县,涞源,130600000000,4,130630000000,130630000000
130631000000,望都县,望都,130600000000,4,130631000000,130631000000
130632000000,安新县,安新,130600000000,4,130632000000,130632000000
130633000000,易县,易县,130600000000,4,130633000000,130633000000
130634000000,曲阳县,曲阳,130600000000,4,130634000000,130634000000
130635000000,蠡县,蠡县,130600000000,4,130635000000,130635000000
130636000000,顺平县,顺平,130600000000,4,130636000000,130636000000
130637000000,博野县,博野,130600000000,4,130637000000,130637000000
130638000000,雄县,雄县,130600000000,4,130638000000,130638000000
130671000000,保定高新技术产业开发区,保定高新区,130600000000,4,130671000000,130671000000
130672000000,保定白沟新城,白沟新城,130600000000,4,130672000000,130672000000
130681000000,涿州市,涿州,130600000000,4,130681000000,130681000000
130682000000,定州市,定州,130600000000,4,130682000000,130682000000
130683000000,安国市,安国,130600000000,4,130683000000,130683000000
130684000000,高碑店市,高碑店,130600000000,4,130684000000,130684000000
130701000000,市辖区,市辖区,130700000000,4,130701000000,130701000000
130702000000,桥东区,桥东,130700000000,4,130702000000,130702000000
130703000000,桥西区,桥西,130700000000,4,130703000000,130703000000
130705000000,宣化区,宣化,130700000000,4,130705000000,130705000000
130706000000,下花园区,下花园,130700000000,4,130706000000,130706000000
130708000000,万全区,万全,130700000000,4,130708000000,130708000000
130709000000,崇礼区,崇礼,130700000000,4,130709000000,130709000000
130722000000,张北县,张北,130700000000,4,130722000000,130722000000
130723000000,康保县,康保,130700000000,4,130723000000,130723000000
130724000000,沽源县,沽源,130700000000,4,130724000000,130724000000
130725000000,尚义县,尚义,130700000000,4,130725000000,130725000000
130726000000,蔚县,蔚县,130700000000,4,130726000000,130726000000
130727000000,阳原县,阳原,130700000000,4,130727000000,130727000000
130728000000,怀安县,怀安,130700000000,4,130728000000,130728000000
130730000000,怀来县,怀来,130700000000,4,130730000000,130730000000
130731000000,涿鹿县,涿鹿,130700000000,4,130731000000,130731000000
130732000000,赤城县,赤城,130700000000,4,130732000000,130732000000
130771000000,张家口经济开发区,张家口经开区,130700000000,4,130771000000,130771000000
130772000000,张家口市察北管理区,察北管理区,130700000000,4,130772000000,130772000000
130773000000,张家口市塞北管理区,塞北管理区,130700000000,4,130773000000,130773000000
130801000000,市辖区,市辖区,130800000000,4,130801000000,130801000000
130802000000,双桥区,双桥,130800000000,4,130802000000,130802000000
130803000000,双滦区,双滦,130800000000,4,130803000000,130803000000
130804000000,鹰手营子矿区,鹰手营子,130800000000,4,130804000000,130804000000
130821000000,承德县,承德,130800000000,4,130821000000,130821000000
130822000000,兴隆县,兴隆,130800000000,4,130822000000,130822000000
130824000000,滦平县,滦平,130800000000,4,130824000000,130824000000
130825000000,隆化县,隆化,130800000000,4,130825000000,130825000000
130826000000,丰宁满族自治县,丰宁,130800000000,4,130826000000,130826000000
130827000000,宽城满族自治县,宽城,130800000000,4,130827000000,130827000000
130828000000,围场满族蒙古族自治县,围场,130800000000,4,130828000000,130828000000
130871000000,承德高新技术产业开发区,承德高新区,130800000000,4,130871000000,130871000000
130881000000,平泉市,平泉,130800000000,4,130881000000,130881000000
130901000000,市辖区,市辖区,130900000000,4,130901000000,130901000000
130902000000,新华区,新华,130900000000,4,130902000000,130902000000
130903000000,运河区,运河,130900000000,4,130903000000,130903000000
130921000000,沧县,沧县,130900000000,4,130921000000,130921000000
130922000000,青县,青县,130900000000,4,130922000000,130922000000
130923000000,东光县,东光,130900000000,4,130923000000,130923000000
130924000000,海兴县,海兴,130900000000,4,130924000000,130924000000
130925000000,盐山县,盐山,130900000000,4,130925000000,130925000000
130926000000,肃宁县,肃宁,130900000000,4,130926000000,130926000000
130927000000,南皮县,南皮,130900000000,4,130927000000,130927000000
130928000000,吴桥县,吴桥,130900000000,4,130928000000,130928000000
130929000000,献县,献县,130900000000,4,130929000000,130929000000
130930000000,孟村回族自治县,孟村,130900000000,4,130930000000,130930000000
130971000000,河北沧州经济开发区,沧州经开区,130900000000,4,130971000000,130971000000
130972000000,沧州高新技术产业开发区,沧州高新区,130900000000,4,130972000000,130972000000
130973000000,沧州渤海新区,渤海新区,130900000000,4,130973000000,130973000000
130981000000,泊头市,泊头,130900000000,4,130981000000,130981000000
130982000000,任丘市,任丘,130900000000,4,130982000000,130982000000
130983000000,黄骅市,黄骅,130900000000,4,130983000000,130983000000
130984000000,河间市,河间,130900000000,4,130984000000,130984000000
131001000000,市辖区,市辖区,131000000000,4,131001000000,131001000000
131002000000,安次区,安次,131000000000,4,131002000000,131002000000
131003000000,广阳区,广阳,131000000000,4,131003000000,131003000000
131022000000,固安县,固安,131000000000,4,131022000000,131022000000
131023000000,永清县,永清,131000000000,4,131023000000,131023000000
131024000000,香河县,香河,131000000000,4,131024000000,131024000000
131025000000,大城县,大城,131000000000,4,131025000000,131025000000
131026000000,文安县,文安,131000000000,4,131026000000,131026000000
131028000000,大厂回族自治县,大厂,131000000000,4,131028000000,131028000000
131071000000,廊坊经济技术开发区,廊坊经开区,131000000000,4,131071000000,131071000000
131081000000,霸州市,霸州,131000000000,4,131081000000,131081000000
131082000000,三河市,三河,131000000000,4,131082000000,131082000000
131101000000,市辖区,市辖区,131100000000,4,131101000000,131101000000
131102000000,桃城区,桃城,131100000000,4,131102000000,131102000000
131103000000,冀州区,冀州,131100000000,4,131103000000,131103000000
131121000000,枣强县,枣强,131100000000,4,131121000000,131121000000
131122000000,武邑县,武邑,131100000000,4,131122000000,131122000000
131123000000,武强县,武强,131100000000,4,131123000000,131123000000
131124000000,饶阳县,饶阳,131100000000,4,131124000000,131124000000
131125000000,安平县,安平,131100000000,4,131125000000,131125000000
131126000000,故城县,故城,131100000000,4,131126000000,131126000000
131127000000,景县,景县,131100000000,4,131127000000,131127000000
131128000000,阜城县,阜城,131100000000,4,131128000000,131128000000
131171000000,河北衡水高新技术产业开发区,衡水高新区,131100000000,4,131171000000,131171000000
131172000000,衡水滨湖新区,滨湖新区,131100000000,4,131172000000,131172000000
131182000000,深州市,深州,131100000000,4,131182000000,131182000000
140101000000,市辖区,市辖区,140100000000,4,140101000000,140101000000
140105000000,小店区,小店,140100000000,4,140105000000,140105000000
140106000000,迎泽区,迎泽,140100000000,4,140106000000,140106000000
140107000000,杏花岭区,杏花岭,140100000000,4,140107000000,140107000000
140108000000,尖草坪区,尖草坪,140100000000,4,140108000000,140108000000
140109000000,万柏林区,万柏林,140100000000,4,140109000000,140109000000
140110000000,晋源区,晋源,140100000000,4,140110000000,140110000000
140121000000,清徐县,清徐,140100000000,4,140121000000,140121000000
140122000000,阳曲县,阳曲,140100000000,4,140122000000,140122000000
140123000000,娄烦县,娄烦,140100000000,4,140123000000,140123000000
140171000000,山西转型综合改革示范区,山西综改示范区,140100000000,4,140171000000,140171000000
140181000000,古交市,古交,140100000000,4,140181000000,140181000000
140201000000,市辖区,市辖区,140200000000,4,140201000000,140201000000
140212000000,新荣区,新荣,140200000000,4,140212000000,140212000000
140213000000,平城区,平城,140200000000,4,140213000000,140213000000
140214000000,云冈区,云冈,140200000000,4,140214000000,140214000000
140215000000,云州区,云州,140200000000,4,140215000000,140215000000
140221000000,阳高县,阳高,140200000000,4,140221000000,140221000000
140222000000,天镇县,天镇,140200000000,4,140222000000,140222000000
140223000000,广灵县,广灵,140200000000,4,140223000000,140223000000
140224000000,灵丘县,灵丘,140200000000,4,140224000000,140224000000
140225000000,浑源县,浑源,140200000000,4,140225000000,140225000000
140226000000,左云县,左云,140200000000,4,140226000000,140226000000
140271000000,山西大同经济开发区,大同经开区,140200000000,4,140271000000,140271000000
140301000000,市辖区,市辖区,140300000000,4,140301000000,140301000000
140302000000,城区,城区,140300000000,4,140302000000,140302000000
140303000000,矿区,矿区,140300000000,4,140303000000,140303000000
140311000000,郊区,郊区,140300000000,4,140311000000,140311000000
140321000000,平定县,平定,140300000000,4,140321000000,140321000000
140322000000,盂县,盂县,140300000000,4,140322000000,140322000000
140401000000,市辖区,市辖区,140400000000,4,140401000000,140401000000
140403000000,潞州区,潞州,140400000000,4,140403000000,140403000000
140404000000,上党区,上党,140400000000,4,140404000000,140404000000
140405000000,屯留区,屯留,140400000000,4,140405000000,140405000000
140406000000,潞城区,潞城,140400000000,4,140406000000,140406000000
140423000000,襄垣县,襄垣,140400000000,4,140423000000,140423000000
140425000000,平顺县,平顺,140400000000,4,140425000000,140425000000
140426000000,黎城县,黎城,140400000000,4,140426000000,140426000000
140427000000,壶关县,壶关,140400000000,4,140427000000,140427000000
140428000000,长子县,长子,140400000000,4,140428000000,140428000000
140429000000,武乡县,武乡,140400000000,4,140429000000,140429000000
140430000000,沁县,沁县,140400000000,4,140430000000,140430000000
140431000000,沁源县,沁源,140400000000,4,140431000000,140431000000
140471000000,山西长治高新技术产业园区,长治高新区,140400000000,4,140471000000,140471000000
140501000000,市辖区,市辖区,140500000000,4,140501000000,140501000000
140502000000,城区,城区,140500000000,4,140502000000,140502000000
140521000000,沁水县,沁水,140500000000,4,140521000000,140521000000
140522000000,阳城县,阳城,140500000000,4,140522000000,140522000000
140524000000,陵川县,陵川,140500000000,4,140524000000,140524000000
140525000000,泽州县,泽州,140500000000,4,140525000000,140525000000
140581000000,高平市,高平,140500000000,4,140581000000,140581000000
140601000000,市辖区,市辖区,140600000000,4,140601000000,140601000000
140602000000,朔城区,朔城,140600000000,4,140602000000,140602000000
140603000000,平鲁区,平鲁,140600000000,4,140603000000,140603000000
140621000000,山阴县,山阴,140600000000,4,140621000000,140621000000
140622000000,应县,应县,140600000000,4,140622000000,140622000000
140623000000,右玉县,右玉,140600000000,4,140623000000,140623000000
140671000000,山西朔州经济开发区,朔州经开区,140600000000,4,140671000000,140671000000
140681000000,怀仁市,怀仁,140600000000,4,140681000000,140681000000
140701000000,市辖区,市辖区,140700000000,4,140701000000,140701000000
140702000000,榆次区,榆次,140700000000,4,140702000000,140702000000
140703000000,太谷区,太谷,140700000000,4,140703000000,140703000000
140721000000,榆社县,榆社,140700000000,4,140721000000,140721000000
140722000000,左权县,左权,140700000000,4,140722000000,140722000000
140723000000,和顺县,和顺,140700000000,4,140723000000,140723000000
140724000000,昔阳县,昔阳,140700000000,4,140724000000,140724000000
140725000000,寿阳县,寿阳,140700000000,4,140725000000,140725000000
140727000000,祁县,祁县,140700000000,4,140727000000,140727000000
140728000000,平遥县,平遥,140700000000,4,140728000000,140728000000
140729000000,灵石县,灵石,140700000000,4,140729000000,140729000000
140781000000,介休市,介休,140700000000,4,140781000000,140781000000
140801000000,市辖区,市辖区,140800000000,4,140801000000,140801000000
140802000000,盐湖区,盐湖,140800000000,4,140802000000,140802000000
140821000000,临猗县,临猗,140800000000,4,140821000000,140821000000
140822000000,万荣县,万荣,140800000000,4,140822000000,140822000000
140823000000,闻喜县,闻喜,140800000000,4,140823000000,140823000000
140824000000,稷山县,稷山,140800000000,4,140824000000,140824000000
140825000000,新绛县,新绛,140800000000,4,140825000000,140825000000
140826000000,绛县,绛县,140800000000,4,140826000000,140826000000
140827000000,垣曲县,垣曲,140800000000,4,140827000000,140827000000
140828000000,夏县,夏县,140800000000,4,140828000000,140828000000
140829000000,平陆县,平陆,140800000000,4,140829000000,140829000000
140830000000,芮城县,芮城,140800000000,4,140830000000,140830000000
140881000000,永济市,永济,140800000000,4,140881000000,140881000000
140882000000,河津市,河津,140800000000,4,140882000000,140882000000
140901000000,市辖区,市辖区,140900000000,4,140901000000,140901000000
140902000000,忻府区,忻府,140900000000,4,140902000000,140902000000
140921000000,定襄县,定襄,140900000000,4,140921000000,140921000000
140922000000,五台县,五台,140900000000,4,140922000000,140922000000
140923000000,代县,代县,140900000000,4,140923000000,140923000000
140924000000,繁峙县,繁峙,140900000000,4,140924000000,140924000000
140925000000,宁武县,宁武,140900000000,4,140925000000,140925000000
140926000000,静乐县,静乐,140900000000,4,140926000000,140926000000
140927000000,神池县,神池,140900000000,4,140927000000,140927000000
140928000000,五寨县,五寨,140900000000,4,140928000000,140928000000
140929000000,岢岚县,岢岚,140900000000,4,140929000000,140929000000
140930000000,河曲县,河曲,140900000000,4,140930000000,140930000000
140931000000,保德县,保德,140900000000,4,140931000000,140931000000
140932000000,偏关县,偏关,140900000000,4,140932000000,140932000000
140971000000,五台山风景名胜区,五台山,140900000000,4,140971000000,140971000000
140981000000,原平市,原平,140900000000,4,140981000000,140981000000
141001000000,市辖区,市辖区,141000000000,4,141001000000,141001000000
141002000000,尧都区,尧都,141000000000,4,141002000000,141002000000
141021000000,曲沃县,曲沃,141000000000,4,141021000000,141021000000
141022000000,翼城县,翼城,141000000000,4,141022000000,141022000000
141023000000,襄汾县,襄汾,141000000000,4,141023000000,141023000000
141024000000,洪洞县,洪洞,141000000000,4,141024000000,141024000000
141025000000,古县,古县,141000000000,4,141025000000,141025000000
141026000000,安泽县,安泽,141000000000,4,141026000000,141026000000
141027000000,浮山县,浮山,141000000000,4,141027000000,141027000000
141028000000,吉县,吉县,141000000000,4,141028000000,141028000000
141029000000,乡宁县,乡宁,141000000000,4,141029000000,141029000000
141030000000,大宁县,大宁,141000000000,4,141030000000,141030000000
141031000000,隰县,隰县,141000000000,4,141031000000,141031000000
141032000000,永和县,永和,141000000000,4,141032000000,141032000000
141033000000,蒲县,蒲县,141000000000,4,141033000000,141033000000
141034000000,汾西县,汾西,141000000000,4,141034000000,141034000000
141081000000,侯马市,侯马,141000000000,4,141081000000,141081000000
141082000000,霍州市,霍州,141000000000,4,141082000000,141082000000
141101000000,市辖区,市辖区,141100000000,4,141101000000,141101000000
141102000000,离石区,离石,141100000000,4,141102000000,141102000000
141121000000,文水县,文水,141100000000,4,141121000000,141121000000
141122000000,交城县,交城,141100000000,4,141122000000,141122000000
141123000000,兴县,兴县,141100000000,4,141123000000,141123000000
141124000000,临县,临县,141100000000,4,141124000000,141124000000
141125000000,柳林县,柳林,141100000000,4,141125000000,141125000000
141126000000,石楼县,石楼,141100000000,4,141126000000,141126000000
141127000000,岚县,岚县,141100000000,4,141127000000,141127000000
141128000000,方山县,方山,141100000000,4,141128000000,141128000000
141129000000,中阳县,中阳,141100000000,4,141129000000,141129000000
141130000000,交口县,交口,141100000000,4,141130000000,141130000000
141181000000,孝义市,孝义,141100000000,4,141181000000,141181000000
141182000000,汾阳市,汾阳,141100000000,4,141182000000,141182000000
150101000000,市辖区,市辖区,150100000000,4,150101000000,150101000000
150102000000,新城区,新城,150100000000,4,150102000000,150102000000
150103000000,回民区,回民,150100000000,4,150103000000,150103000000
150104000000,玉泉区,玉泉,150100000000,4,150104000000,150104000000
150105000000,赛罕区,赛罕,150100000000,4,150105000000,150105000000
150121000000,土默特左旗,土左旗,150100000000,4,150121000000,150121000000
150122000000,托克托县,托克托,150100000000,4,150122000000,150122000000
150123000000,和林格尔县,和林格尔,150100000000,4,150123000000,150123000000
150124000000,清水河县,清水河,150100000000,4,150124000000,150124000000
150125000000,武川县,武川,150100000000,4,150125000000,150125000000
150172000000,呼和浩特经济技术开发区,呼和浩特经开区,150100000000,4,150172000000,150172000000
150201000000,市辖区,市辖区,150200000000,4,150201000000,150201000000
150202000000,东河区,东河,150200000000,4,150202000000,150202000000
150203000000,昆都仑区,昆都仑,150200000000,4,150203000000,150203000000
150204000000,青山区,青山,150200000000,4,150204000000,150204000000
150205000000,石拐区,石拐,150200000000,4,150205000000,150205000000
150206000000,白云鄂博矿区,白云鄂博,150200000000,4,150206000000,150206000000
150207000000,九原区,九原,150200000000,4,150207000000,150207000000
150221000000,土默特右旗,土右旗,150200000000,4,150221000000,150221000000
150222000000,固阳县,固阳,150200000000,4,150222000000,150222000000
150223000000,达尔罕茂明安联合旗,达茂旗,150200000000,4,150223000000,150223000000
150271000000,包头稀土高新技术产业开发区,包头稀土高新区,150200000000,4,150271000000,150271000000
150301000000,市辖区,市辖区,150300000000,4,150301000000,150301000000
150302000000,海勃湾区,海勃湾,150300000000,4,150302000000,150302000000
150303000000,海南区,海南,150300000000,4,150303000000,150303000000
150304000000,乌达区,乌达,150300000000,4,150304000000,150304000000
150401000000,市辖区,市辖区,150400000000,4,150401000000,150401000000
150402000000,红山区,红山,150400000000,4,150402000000,150402000000
150403000000,元宝山区,元宝山,150400000000,4,150403000000,150403000000
150404000000,松山区,松山,150400000000,4,150404000000,150404000000
150421000000,阿鲁科尔沁旗,阿旗,150400000000,4,150421000000,150421000000
150422000000,巴林左旗,左旗,150400000000,4,150422000000,150422000000
150423000000,巴林右旗,右旗,150400000000,4,150423000000,150423000000
150424000000,林西县,林西,150400000000,4,150424000000,150424000000
150425000000,克什克腾旗,克什克腾,150400000000,4,150425000000,150425000000
150426000000,翁牛特旗,翁牛特,150400000000,4,150426000000,150426000000
150428000000,喀喇沁旗,喀喇沁,150400000000,4,150428000000,150428000000
150429000000,宁城县,宁城,150400000000,4,150429000000,150429000000
150430000000,敖汉旗,敖汉,150400000000,4,150430000000,150430000000
150501000000,市辖区,市辖区,150500000000,4,150501000000,150501000000
150502000000,科尔沁区,科尔沁,150500000000,4,150502000000,150502000000
150521000000,科尔沁左翼中旗,科左中旗,150500000000,4,150521000000,150521000000
150522000000,科尔沁左翼后旗,科左后旗,150500000000,4,150522000000,150522000000
150523000000,开鲁县,开鲁,150500000000,4,150523000000,150523000000
150524000000,库伦旗,库伦,150500000000,4,150524000000,150524000000
150525000000,奈曼旗,奈曼,150500000000,4,150525000000,150525000000
150526000000,扎鲁特旗,扎鲁特,150500000000,4,150526000000,150526000000
150571000000,通辽经济技术开发区,通辽经开区,150500000000,4,150571000000,150571000000
150581000000,霍林郭勒市,霍林郭勒,150500000000,4,150581000000,150581000000
150601000000,市辖区,市辖区,150600000000,4,150601000000,150601000000
150602000000,东胜区,东胜,150600000000,4,150602000000,150602000000
150603000000,康巴什区,康巴什,150600000000,4,150603000000,150603000000
150621000000,达拉特旗,达拉特,150600000000,4,150621000000,150621000000
150622000000,准格尔旗,准格尔,150600000000,4,150622000000,150622000000
150623000000,鄂托克前旗,鄂托克前,150600000000,4,150623000000,150623000000
150624000000,鄂托克旗,鄂托克,150600000000,4,150624000000,150624000000
150625000000,杭锦旗,杭锦,150600000000,4,150625000000,150625000000
150626000000,乌审旗,乌审,150600000000,4,150626000000,150626000000
150627000000,伊金霍洛旗,伊金霍洛,150600000000,4,150627000000,150627000000
150701000000,市辖区,市辖区,150700000000,4,150701000000,150701000000
150702000000,海拉尔区,海拉尔,150700000000,4,150702000000,150702000000
150703000000,扎赉诺尔区,扎赉诺尔,150700000000,4,150703000000,150703000000
150721000000,阿荣旗,阿荣,150700000000,4,150721000000,150721000000
150722000000,莫力达瓦达斡尔族自治旗,莫旗,150700000000,4,150722000000,150722000000
150723000000,鄂伦春自治旗,鄂伦春,150700000000,4,150723000000,150723000000
150724000000,鄂温克族自治旗,鄂温克,150700000000,4,150724000000,150724000000
150725000000,陈巴尔虎旗,陈巴尔虎,150700000000,4,150725000000,150725000000
150726000000,新巴尔虎左旗,新左旗,150700000000,4,150726000000,150726000000
