,,,,,region1,,region2
 ['平谷区', 110000, '北京市']和['兴隆县', '河北省']相邻, 平谷区,110117000000, 兴隆县,130822000000
 ['密云区', 110000, '北京市']和['兴隆县', '河北省']相邻, 密云区,110118000000, 兴隆县,130822000000
 ['密云区', 110000, '北京市']和['承德县', '河北省']相邻, 密云区,110118000000, 承德县,130821000000
 ['密云区', 110000, '北京市']和['滦平县', '河北省']相邻, 密云区,110118000000, 滦平县,130824000000
 ['延庆区', 110000, '北京市']和['怀来县', '河北省']相邻, 延庆区,110119000000, 怀来县,130730000000
 ['延庆区', 110000, '北京市']和['赤城县', '河北省']相邻, 延庆区,110119000000, 赤城县,130732000000
 ['和平区', 120000, '天津市']和['河北区', '天津市']相邻, 和平区,120101000000, 河北区,120105000000
 ['和平区', 120000, '天津市']和['河西区', '天津市']相邻, 和平区,120101000000, 河西区,120103000000
 ['和平区', 120000, '天津市']和['河东区', '天津市']相邻, 和平区,120101000000, 河东区,120102000000
 ['和平区', 120000, '天津市']和['南开区', '天津市']相邻, 和平区,120101000000, 南开区,120104000000
 ['河东区', 120000, '天津市']和['河西区', '天津市']相邻, 河东区,120102000000, 河西区,120103000000
 ['河东区', 120000, '天津市']和['东丽区', '天津市']相邻, 河东区,120102000000, 东丽区,120110000000
 ['河东区', 120000, '天津市']和['河北区', '天津市']相邻, 河东区,120102000000, 河北区,120105000000
 ['河西区', 120000, '天津市']和['东丽区', '天津市']相邻, 河西区,120103000000, 东丽区,120110000000
 ['河西区', 120000, '天津市']和['津南区', '天津市']相邻, 河西区,120103000000, 津南区,120112000000
 ['河西区', 120000, '天津市']和['西青区', '天津市']相邻, 河西区,120103000000, 西青区,120111000000
 ['河西区', 120000, '天津市']和['南开区', '天津市']相邻, 河西区,120103000000, 南开区,120104000000
 ['南开区', 120000, '天津市']和['红桥区', '天津市']相邻, 南开区,120104000000, 红桥区,120106000000
 ['南开区', 120000, '天津市']和['河北区', '天津市']相邻, 南开区,120104000000, 河北区,120105000000
 ['南开区', 120000, '天津市']和['西青区', '天津市']相邻, 南开区,120104000000, 西青区,120111000000
 ['河北区', 120000, '天津市']和['红桥区', '天津市']相邻, 河北区,120105000000, 红桥区,120106000000
 ['河北区', 120000, '天津市']和['东丽区', '天津市']相邻, 河北区,120105000000, 东丽区,120110000000
 ['河北区', 120000, '天津市']和['北辰区', '天津市']相邻, 河北区,120105000000, 北辰区,120113000000
 ['红桥区', 120000, '天津市']和['西青区', '天津市']相邻, 红桥区,120106000000, 西青区,120111000000
 ['红桥区', 120000, '天津市']和['北辰区', '天津市']相邻, 红桥区,120106000000, 北辰区,120113000000
 ['东丽区', 120000, '天津市']和['宁河区', '天津市']相邻, 东丽区,120110000000, 宁河区,120117000000
 ['东丽区', 120000, '天津市']和['津南区', '天津市']相邻, 东丽区,120110000000, 津南区,120112000000
 ['东丽区', 120000, '天津市']和['滨海新区', '天津市']相邻, 东丽区,120110000000, 滨海新区,120116000000
 ['东丽区', 120000, '天津市']和['北辰区', '天津市']相邻, 东丽区,120110000000, 北辰区,120113000000
 ['西青区', 120000, '天津市']和['滨海新区', '天津市']相邻, 西青区,120111000000, 滨海新区,120116000000
 ['西青区', 120000, '天津市']和['霸州市', '河北省']相邻, 西青区,120111000000, 霸州市,131081000000
 ['西青区', 120000, '天津市']和['静海区', '天津市']相邻, 西青区,120111000000, 静海区,120118000000
 ['西青区', 120000, '天津市']和['北辰区', '天津市']相邻, 西青区,120111000000, 北辰区,120113000000
 ['西青区', 120000, '天津市']和['武清区', '天津市']相邻, 西青区,120111000000, 武清区,120114000000
 ['西青区', 120000, '天津市']和['津南区', '天津市']相邻, 西青区,120111000000, 津南区,120112000000
 ['津南区', 120000, '天津市']和['滨海新区', '天津市']相邻, 津南区,120112000000, 滨海新区,120116000000
 ['北辰区', 120000, '天津市']和['宁河区', '天津市']相邻, 北辰区,120113000000, 宁河区,120117000000
 ['北辰区', 120000, '天津市']和['武清区', '天津市']相邻, 北辰区,120113000000, 武清区,120114000000
 ['武清区', 120000, '天津市']和['香河县', '河北省']相邻, 武清区,120114000000, 香河县,131024000000
 ['武清区', 120000, '天津市']和['安次区', '河北省']相邻, 武清区,120114000000, 安次区,131002000000
 ['武清区', 120000, '天津市']和['广阳区', '河北省']相邻, 武清区,120114000000, 广阳区,131003000000
 ['武清区', 120000, '天津市']和['宝坻区', '天津市']相邻, 武清区,120114000000, 宝坻区,120115000000
 ['武清区', 120000, '天津市']和['霸州市', '河北省']相邻, 武清区,120114000000, 霸州市,131081000000
 ['武清区', 120000, '天津市']和['宁河区', '天津市']相邻, 武清区,120114000000, 宁河区,120117000000
 ['宝坻区', 120000, '天津市']和['宁河区', '天津市']相邻, 宝坻区,120115000000, 宁河区,120117000000
 ['宝坻区', 120000, '天津市']和['玉田县', '河北省']相邻, 宝坻区,120115000000, 玉田县,130229000000
 ['宝坻区', 120000, '天津市']和['蓟州区', '天津市']相邻, 宝坻区,120115000000, 蓟州区,120119000000
 ['宝坻区', 120000, '天津市']和['三河市', '河北省']相邻, 宝坻区,120115000000, 三河市,131082000000
 ['宝坻区', 120000, '天津市']和['香河县', '河北省']相邻, 宝坻区,120115000000, 香河县,131024000000
 ['滨海新区', 120000, '天津市']和['丰南区', '河北省']相邻, 滨海新区,120116000000, 丰南区,130207000000
 ['滨海新区', 120000, '天津市']和['黄骅市', '河北省']相邻, 滨海新区,120116000000, 黄骅市,130983000000
 ['滨海新区', 120000, '天津市']和['静海区', '天津市']相邻, 滨海新区,120116000000, 静海区,120118000000
 ['滨海新区', 120000, '天津市']和['宁河区', '天津市']相邻, 滨海新区,120116000000, 宁河区,120117000000
 ['宁河区', 120000, '天津市']和['丰润区', '河北省']相邻, 宁河区,120117000000, 丰润区,130208000000
 ['宁河区', 120000, '天津市']和['玉田县', '河北省']相邻, 宁河区,120117000000, 玉田县,130229000000
 ['宁河区', 120000, '天津市']和['丰南区', '河北省']相邻, 宁河区,120117000000, 丰南区,130207000000
 ['静海区', 120000, '天津市']和['青县', '河北省']相邻, 静海区,120118000000, 青县,130922000000
 ['静海区', 120000, '天津市']和['黄骅市', '河北省']相邻, 静海区,120118000000, 黄骅市,130983000000
 ['静海区', 120000, '天津市']和['大城县', '河北省']相邻, 静海区,120118000000, 大城县,131025000000
 ['静海区', 120000, '天津市']和['文安县', '河北省']相邻, 静海区,120118000000, 文安县,131026000000
 ['静海区', 120000, '天津市']和['霸州市', '河北省']相邻, 静海区,120118000000, 霸州市,131081000000
 ['蓟州区', 120000, '天津市']和['玉田县', '河北省']相邻, 蓟州区,120119000000, 玉田县,130229000000
 ['蓟州区', 120000, '天津市']和['兴隆县', '河北省']相邻, 蓟州区,120119000000, 兴隆县,130822000000
 ['蓟州区', 120000, '天津市']和['三河市', '河北省']相邻, 蓟州区,120119000000, 三河市,131082000000
 ['蓟州区', 120000, '天津市']和['遵化市', '河北省']相邻, 蓟州区,120119000000, 遵化市,130281000000
 ['长安区', 130000, '河北省']和['裕华区', '河北省']相邻, 长安区,130102000000, 裕华区,130108000000
 ['长安区', 130000, '河北省']和['正定县', '河北省']相邻, 长安区,130102000000, 正定县,130123000000
 ['长安区', 130000, '河北省']和['新华区', '河北省']相邻, 长安区,130102000000, 新华区,130105000000
 ['长安区', 130000, '河北省']和['桥西区', '河北省']相邻, 长安区,130102000000, 桥西区,130104000000
 ['长安区', 130000, '河北省']和['藁城区', '河北省']相邻, 长安区,130102000000, 藁城区,130109000000
 ['桥西区', 130000, '河北省']和['裕华区', '河北省']相邻, 桥西区,130104000000, 裕华区,130108000000
 ['桥西区', 130000, '河北省']和['新华区', '河北省']相邻, 桥西区,130104000000, 新华区,130105000000
 ['桥西区', 130000, '河北省']和['鹿泉区', '河北省']相邻, 桥西区,130104000000, 鹿泉区,130110000000
 ['新华区', 130000, '河北省']和['正定县', '河北省']相邻, 新华区,130105000000, 正定县,130123000000
 ['新华区', 130000, '河北省']和['鹿泉区', '河北省']相邻, 新华区,130105000000, 鹿泉区,130110000000
 ['裕华区', 130000, '河北省']和['鹿泉区', '河北省']相邻, 裕华区,130108000000, 鹿泉区,130110000000
 ['裕华区', 130000, '河北省']和['藁城区', '河北省']相邻, 裕华区,130108000000, 藁城区,130109000000
 ['裕华区', 130000, '河北省']和['栾城区', '河北省']相邻, 裕华区,130108000000, 栾城区,130111000000
 ['藁城区', 130000, '河北省']和['无极县', '河北省']相邻, 藁城区,130109000000, 无极县,130130000000
 ['藁城区', 130000, '河北省']和['晋州市', '河北省']相邻, 藁城区,130109000000, 晋州市,130183000000
 ['藁城区', 130000, '河北省']和['新乐市', '河北省']相邻, 藁城区,130109000000, 新乐市,130184000000
 ['藁城区', 130000, '河北省']和['正定县', '河北省']相邻, 藁城区,130109000000, 正定县,130123000000
 ['藁城区', 130000, '河北省']和['赵县', '河北省']相邻, 藁城区,130109000000, 赵县,130133000000
 ['藁城区', 130000, '河北省']和['栾城区', '河北省']相邻, 藁城区,130109000000, 栾城区,130111000000
 ['鹿泉区', 130000, '河北省']和['井陉县', '河北省']相邻, 鹿泉区,130110000000, 井陉县,130121000000
 ['鹿泉区', 130000, '河北省']和['元氏县', '河北省']相邻, 鹿泉区,130110000000, 元氏县,130132000000
 ['鹿泉区', 130000, '河北省']和['平山县', '河北省']相邻, 鹿泉区,130110000000, 平山县,130131000000
 ['鹿泉区', 130000, '河北省']和['灵寿县', '河北省']相邻, 鹿泉区,130110000000, 灵寿县,130126000000
 ['鹿泉区', 130000, '河北省']和['栾城区', '河北省']相邻, 鹿泉区,130110000000, 栾城区,130111000000
 ['鹿泉区', 130000, '河北省']和['正定县', '河北省']相邻, 鹿泉区,130110000000, 正定县,130123000000
 ['栾城区', 130000, '河北省']和['赵县', '河北省']相邻, 栾城区,130111000000, 赵县,130133000000
 ['栾城区', 130000, '河北省']和['元氏县', '河北省']相邻, 栾城区,130111000000, 元氏县,130132000000
 ['井陉县', 130000, '河北省']和['盂县', '山西省']相邻, 井陉县,130121000000, 盂县,140322000000
 ['井陉县', 130000, '河北省']和['元氏县', '河北省']相邻, 井陉县,130121000000, 元氏县,130132000000
 ['井陉县', 130000, '河北省']和['平定县', '山西省']相邻, 井陉县,130121000000, 平定县,140321000000
 ['井陉县', 130000, '河北省']和['昔阳县', '山西省']相邻, 井陉县,130121000000, 昔阳县,140724000000
 ['井陉县', 130000, '河北省']和['赞皇县', '河北省']相邻, 井陉县,130121000000, 赞皇县,130129000000
 ['正定县', 130000, '河北省']和['行唐县', '河北省']相邻, 正定县,130123000000, 行唐县,130125000000
 ['正定县', 130000, '河北省']和['新乐市', '河北省']相邻, 正定县,130123000000, 新乐市,130184000000
 ['正定县', 130000, '河北省']和['灵寿县', '河北省']相邻, 正定县,130123000000, 灵寿县,130126000000
 ['行唐县', 130000, '河北省']和['曲阳县', '河北省']相邻, 行唐县,130125000000, 曲阳县,130634000000
 ['行唐县', 130000, '河北省']和['灵寿县', '河北省']相邻, 行唐县,130125000000, 灵寿县,130126000000
 ['行唐县', 130000, '河北省']和['新乐市', '河北省']相邻, 行唐县,130125000000, 新乐市,130184000000
 ['行唐县', 130000, '河北省']和['阜平县', '河北省']相邻, 行唐县,130125000000, 阜平县,130624000000
 ['灵寿县', 130000, '河北省']和['阜平县', '河北省']相邻, 灵寿县,130126000000, 阜平县,130624000000
 ['灵寿县', 130000, '河北省']和['平山县', '河北省']相邻, 灵寿县,130126000000, 平山县,130131000000
 ['高邑县', 130000, '河北省']和['元氏县', '河北省']相邻, 高邑县,130127000000, 元氏县,130132000000
 ['高邑县', 130000, '河北省']和['柏乡县', '河北省']相邻, 高邑县,130127000000, 柏乡县,130524000000
 ['高邑县', 130000, '河北省']和['临城县', '河北省']相邻, 高邑县,130127000000, 临城县,130522000000
 ['高邑县', 130000, '河北省']和['赵县', '河北省']相邻, 高邑县,130127000000, 赵县,130133000000
 ['高邑县', 130000, '河北省']和['赞皇县', '河北省']相邻, 高邑县,130127000000, 赞皇县,130129000000
 ['深泽县', 130000, '河北省']和['安平县', '河北省']相邻, 深泽县,130128000000, 安平县,131125000000
 ['深泽县', 130000, '河北省']和['安国市', '河北省']相邻, 深泽县,130128000000, 安国市,130683000000
 ['深泽县', 130000, '河北省']和['辛集市', '河北省']相邻, 深泽县,130128000000, 辛集市,130181000000
 ['深泽县', 130000, '河北省']和['定州市', '河北省']相邻, 深泽县,130128000000, 定州市,130682000000
 ['深泽县', 130000, '河北省']和['晋州市', '河北省']相邻, 深泽县,130128000000, 晋州市,130183000000
 ['深泽县', 130000, '河北省']和['无极县', '河北省']相邻, 深泽县,130128000000, 无极县,130130000000
 ['赞皇县', 130000, '河北省']和['元氏县', '河北省']相邻, 赞皇县,130129000000, 元氏县,130132000000
 ['赞皇县', 130000, '河北省']和['临城县', '河北省']相邻, 赞皇县,130129000000, 临城县,130522000000
 ['赞皇县', 130000, '河北省']和['昔阳县', '山西省']相邻, 赞皇县,130129000000, 昔阳县,140724000000
 ['赞皇县', 130000, '河北省']和['内丘县', '河北省']相邻, 赞皇县,130129000000, 内丘县,130523000000
 ['无极县', 130000, '河北省']和['新乐市', '河北省']相邻, 无极县,130130000000, 新乐市,130184000000
 ['无极县', 130000, '河北省']和['定州市', '河北省']相邻, 无极县,130130000000, 定州市,130682000000
 ['无极县', 130000, '河北省']和['晋州市', '河北省']相邻, 无极县,130130000000, 晋州市,130183000000
 ['平山县', 130000, '河北省']和['五台县', '山西省']相邻, 平山县,130131000000, 五台县,140922000000
 ['平山县', 130000, '河北省']和['盂县', '山西省']相邻, 平山县,130131000000, 盂县,140322000000
 ['平山县', 130000, '河北省']和['阜平县', '河北省']相邻, 平山县,130131000000, 阜平县,130624000000
 ['元氏县', 130000, '河北省']和['赵县', '河北省']相邻, 元氏县,130132000000, 赵县,130133000000
 ['赵县', 130000, '河北省']和['宁晋县', '河北省']相邻, 赵县,130133000000, 宁晋县,130528000000
 ['赵县', 130000, '河北省']和['晋州市', '河北省']相邻, 赵县,130133000000, 晋州市,130183000000
 ['赵县', 130000, '河北省']和['柏乡县', '河北省']相邻, 赵县,130133000000, 柏乡县,130524000000
 ['辛集市', 130000, '河北省']和['安平县', '河北省']相邻, 辛集市,130181000000, 安平县,131125000000
 ['辛集市', 130000, '河北省']和['宁晋县', '河北省']相邻, 辛集市,130181000000, 宁晋县,130528000000
 ['辛集市', 130000, '河北省']和['深州市', '河北省']相邻, 辛集市,130181000000, 深州市,131182000000
 ['辛集市', 130000, '河北省']和['晋州市', '河北省']相邻, 辛集市,130181000000, 晋州市,130183000000
 ['辛集市', 130000, '河北省']和['冀州区', '河北省']相邻, 辛集市,130181000000, 冀州区,131103000000
 ['晋州市', 130000, '河北省']和['宁晋县', '河北省']相邻, 晋州市,130183000000, 宁晋县,130528000000
 ['新乐市', 130000, '河北省']和['定州市', '河北省']相邻, 新乐市,130184000000, 定州市,130682000000
 ['新乐市', 130000, '河北省']和['曲阳县', '河北省']相邻, 新乐市,130184000000, 曲阳县,130634000000
 ['路南区', 130000, '河北省']和['开平区', '河北省']相邻, 路南区,130202000000, 开平区,130205000000
 ['路南区', 130000, '河北省']和['路北区', '河北省']相邻, 路南区,130202000000, 路北区,130203000000
 ['路南区', 130000, '河北省']和['丰南区', '河北省']相邻, 路南区,130202000000, 丰南区,130207000000
 ['路北区', 130000, '河北省']和['开平区', '河北省']相邻, 路北区,130203000000, 开平区,130205000000
 ['路北区', 130000, '河北省']和['丰润区', '河北省']相邻, 路北区,130203000000, 丰润区,130208000000
 ['路北区', 130000, '河北省']和['丰南区', '河北省']相邻, 路北区,130203000000, 丰南区,130207000000
 ['古冶区', 130000, '河北省']和['滦州市', '河北省']相邻, 古冶区,130204000000, 滦州市,130284000000
 ['古冶区', 130000, '河北省']和['开平区', '河北省']相邻, 古冶区,130204000000, 开平区,130205000000
 ['古冶区', 130000, '河北省']和['丰南区', '河北省']相邻, 古冶区,130204000000, 丰南区,130207000000
 ['古冶区', 130000, '河北省']和['滦南县', '河北省']相邻, 古冶区,130204000000, 滦南县,130224000000
 ['开平区', 130000, '河北省']和['丰润区', '河北省']相邻, 开平区,130205000000, 丰润区,130208000000
 ['开平区', 130000, '河北省']和['滦州市', '河北省']相邻, 开平区,130205000000, 滦州市,130284000000
 ['开平区', 130000, '河北省']和['丰南区', '河北省']相邻, 开平区,130205000000, 丰南区,130207000000
 ['丰南区', 130000, '河北省']和['丰润区', '河北省']相邻, 丰南区,130207000000, 丰润区,130208000000
 ['丰南区', 130000, '河北省']和['滦南县', '河北省']相邻, 丰南区,130207000000, 滦南县,130224000000
 ['丰南区', 130000, '河北省']和['曹妃甸区', '河北省']相邻, 丰南区,130207000000, 曹妃甸区,130209000000
 ['丰润区', 130000, '河北省']和['滦州市', '河北省']相邻, 丰润区,130208000000, 滦州市,130284000000
 ['丰润区', 130000, '河北省']和['玉田县', '河北省']相邻, 丰润区,130208000000, 玉田县,130229000000
 ['丰润区', 130000, '河北省']和['迁西县', '河北省']相邻, 丰润区,130208000000, 迁西县,130227000000
 ['丰润区', 130000, '河北省']和['遵化市', '河北省']相邻, 丰润区,130208000000, 遵化市,130281000000
 ['曹妃甸区', 130000, '河北省']和['乐亭县', '河北省']相邻, 曹妃甸区,130209000000, 乐亭县,130225000000
 ['滦南县', 130000, '河北省']和['乐亭县', '河北省']相邻, 滦南县,130224000000, 乐亭县,130225000000
 ['滦南县', 130000, '河北省']和['昌黎县', '河北省']相邻, 滦南县,130224000000, 昌黎县,130322000000
 ['滦南县', 130000, '河北省']和['滦州市', '河北省']相邻, 滦南县,130224000000, 滦州市,130284000000
 ['迁西县', 130000, '河北省']和['宽城满族自治县', '河北省']相邻, 迁西县,130227000000, 宽城满族自治县,130827000000
 ['迁西县', 130000, '河北省']和['滦州市', '河北省']相邻, 迁西县,130227000000, 滦州市,130284000000
 ['迁西县', 130000, '河北省']和['遵化市', '河北省']相邻, 迁西县,130227000000, 遵化市,130281000000
 ['迁西县', 130000, '河北省']和['兴隆县', '河北省']相邻, 迁西县,130227000000, 兴隆县,130822000000
 ['迁西县', 130000, '河北省']和['青龙满族自治县', '河北省']相邻, 迁西县,130227000000, 青龙满族自治县,130321000000
 ['迁西县', 130000, '河北省']和['迁安市', '河北省']相邻, 迁西县,130227000000, 迁安市,130283000000
 ['玉田县', 130000, '河北省']和['遵化市', '河北省']相邻, 玉田县,130229000000, 遵化市,130281000000
 ['遵化市', 130000, '河北省']和['兴隆县', '河北省']相邻, 遵化市,130281000000, 兴隆县,130822000000
 ['迁安市', 130000, '河北省']和['青龙满族自治县', '河北省']相邻, 迁安市,130283000000, 青龙满族自治县,130321000000
 ['迁安市', 130000, '河北省']和['滦州市', '河北省']相邻, 迁安市,130283000000, 滦州市,130284000000
 ['迁安市', 130000, '河北省']和['卢龙县', '河北省']相邻, 迁安市,130283000000, 卢龙县,130324000000
 ['滦州市', 130000, '河北省']和['昌黎县', '河北省']相邻, 滦州市,130284000000, 昌黎县,130322000000
 ['滦州市', 130000, '河北省']和['卢龙县', '河北省']相邻, 滦州市,130284000000, 卢龙县,130324000000
 ['海港区', 130000, '河北省']和['青龙满族自治县', '河北省']相邻, 海港区,130302000000, 青龙满族自治县,130321000000
 ['海港区', 130000, '河北省']和['山海关区', '河北省']相邻, 海港区,130302000000, 山海关区,130303000000
 ['海港区', 130000, '河北省']和['绥中县', '辽宁省']相邻, 海港区,130302000000, 绥中县,211421000000
 ['海港区', 130000, '河北省']和['抚宁区', '河北省']相邻, 海港区,130302000000, 抚宁区,130306000000
 ['海港区', 130000, '河北省']和['北戴河区', '河北省']相邻, 海港区,130302000000, 北戴河区,130304000000
 ['山海关区', 130000, '河北省']和['绥中县', '辽宁省']相邻, 山海关区,130303000000, 绥中县,211421000000
 ['北戴河区', 130000, '河北省']和['抚宁区', '河北省']相邻, 北戴河区,130304000000, 抚宁区,130306000000
 ['抚宁区', 130000, '河北省']和['卢龙县', '河北省']相邻, 抚宁区,130306000000, 卢龙县,130324000000
 ['抚宁区', 130000, '河北省']和['青龙满族自治县', '河北省']相邻, 抚宁区,130306000000, 青龙满族自治县,130321000000
 ['抚宁区', 130000, '河北省']和['昌黎县', '河北省']相邻, 抚宁区,130306000000, 昌黎县,130322000000
 ['青龙满族自治县', 130000, '河北省']和['宽城满族自治县', '河北省']相邻, 青龙满族自治县,130321000000, 宽城满族自治县,130827000000
 ['青龙满族自治县', 130000, '河北省']和['卢龙县', '河北省']相邻, 青龙满族自治县,130321000000, 卢龙县,130324000000
 ['青龙满族自治县', 130000, '河北省']和['建昌县', '辽宁省']相邻, 青龙满族自治县,130321000000, 建昌县,211422000000
 ['青龙满族自治县', 130000, '河北省']和['凌源市', '辽宁省']相邻, 青龙满族自治县,130321000000, 凌源市,211382000000
 ['青龙满族自治县', 130000, '河北省']和['绥中县', '辽宁省']相邻, 青龙满族自治县,130321000000, 绥中县,211421000000
 ['昌黎县', 130000, '河北省']和['卢龙县', '河北省']相邻, 昌黎县,130322000000, 卢龙县,130324000000
 ['邯山区', 130000, '河北省']和['复兴区', '河北省']相邻, 邯山区,130402000000, 复兴区,130404000000
 ['邯山区', 130000, '河北省']和['磁县', '河北省']相邻, 邯山区,130402000000, 磁县,130427000000
 ['邯山区', 130000, '河北省']和['丛台区', '河北省']相邻, 邯山区,130402000000, 丛台区,130403000000
 ['邯山区', 130000, '河北省']和['临漳县', '河北省']相邻, 邯山区,130402000000, 临漳县,130423000000
 ['邯山区', 130000, '河北省']和['成安县', '河北省']相邻, 邯山区,130402000000, 成安县,130424000000
 ['邯山区', 130000, '河北省']和['肥乡区', '河北省']相邻, 邯山区,130402000000, 肥乡区,130407000000
 ['丛台区', 130000, '河北省']和['永年区', '河北省']相邻, 丛台区,130403000000, 永年区,130408000000
